frame,episode,ep_return,ep_len,loss
231739,449,33.0,473,0.023091018199920654
232298,450,26.0,559,0.042809486389160156
232803,451,29.0,505,0.05358514189720154
233324,452,37.0,521,0.028415679931640625
233811,453,34.0,487,0.04273299500346184
234210,454,33.0,399,0.14583100378513336
234929,455,53.0,719,0.025158805772662163
235400,456,29.0,471,0.04182187467813492
235869,457,32.0,469,0.04111936688423157
236480,458,37.0,611,0.03405163437128067
237095,459,44.0,615,0.03682469204068184
237520,460,24.0,425,0.03972124680876732
238043,461,29.0,523,0.026567652821540833
238560,462,33.0,517,0.05757502093911171
239219,463,44.0,659,0.05434367060661316
239654,464,25.0,435,0.05565597862005234
240135,465,32.0,481,0.06151242554187775
240594,466,33.0,459,0.18060600757598877
241059,467,28.0,465,0.056234534829854965
241540,468,28.0,481,0.12655547261238098
242281,469,56.0,741,0.053121574223041534
242770,470,30.0,489,0.0445510558784008
243263,471,35.0,493,0.02967500500380993
243768,472,32.0,505,0.02602468430995941
244227,473,33.0,459,0.06955993175506592
244882,474,45.0,655,0.07288464903831482
245299,475,23.0,417,0.035363078117370605
245740,476,24.0,441,0.056074585765600204
246257,477,33.0,517,0.038129739463329315
246800,478,34.0,543,0.03176700323820114
247203,479,24.0,403,0.03991351276636124
247550,480,18.0,347,0.09832483530044556
248013,481,37.0,463,0.03845123201608658
248660,482,50.0,647,0.03696991130709648
249161,483,47.0,501,0.025133546441793442
249624,484,33.0,463,0.04916289076209068
250101,485,29.0,477,0.17562836408615112
250522,486,31.0,421,0.03981804475188255
251167,487,35.0,645,0.052839040756225586
251742,488,34.0,575,0.03941425681114197
252235,489,25.0,493,0.07922187447547913
253116,490,62.0,881,0.04607424885034561
253711,491,44.0,595,0.06842029094696045
254238,492,43.0,527,0.02672775462269783
254909,493,50.0,671,0.052264198660850525
255462,494,35.0,553,0.06270906329154968
255863,495,35.0,401,0.03480851650238037
256360,496,34.0,497,0.041344933211803436
256879,497,38.0,519,0.025469034910202026
257360,498,38.0,481,0.025431213900446892
257871,499,32.0,511,0.10874038934707642
258670,500,58.0,799,0.02530672773718834
259165,501,31.0,495,0.04461675137281418
259626,502,32.0,461,0.024909548461437225
259989,503,28.0,363,0.05085258185863495
260532,504,32.0,543,0.11439967900514603
260987,505,28.0,455,0.034361332654953
261544,506,45.0,557,0.09243017435073853
262219,507,43.0,675,0.06973087042570114
262960,508,44.0,741,0.0429944209754467
263437,509,33.0,477,0.03477688133716583
264522,510,70.0,1085,0.06649687141180038
265175,511,53.0,653,0.025177091360092163
265668,512,27.0,493,0.10630255937576294
266179,513,41.0,511,0.07264664769172668
266652,514,39.0,473,0.047586169093847275
267041,515,29.0,389,0.03298711031675339
267430,516,26.0,389,0.02373450994491577
267843,517,31.0,413,0.06418615579605103
268292,518,35.0,449,0.03700647130608559
268865,519,35.0,573,0.02735896036028862
269350,520,25.0,485,0.03600403666496277
269743,521,19.0,393,0.20958179235458374
270140,522,23.0,397,0.03366859629750252
270661,523,33.0,521,0.07292340695858002
271158,524,36.0,497,0.03095623105764389
271689,525,32.0,531,0.06458970904350281
272344,526,46.0,655,0.0718768835067749
272903,527,37.0,559,0.06651851534843445
273374,528,31.0,471,0.04520885646343231
274107,529,46.0,733,0.029730720445513725
274640,530,33.0,533,0.05880565941333771
275091,531,38.0,451,0.1916661262512207
275598,532,39.0,507,0.20157134532928467
276199,533,45.0,601,0.02263452112674713
276670,534,29.0,471,0.026067152619361877
277175,535,39.0,505,0.06573328375816345
277740,536,37.0,565,0.10976003110408783
278145,537,31.0,405,0.05164298042654991
279020,538,62.0,875,0.044810011982917786
279485,539,36.0,465,0.19532814621925354
279882,540,31.0,397,0.2028014063835144
280721,541,60.0,839,0.08681453764438629
